COMPOUND_ID,clean_smiles,max_sim_SA_all,max_sim_SA_active,max_sim_SA_inactive,ensemble_prediction,prediction,decision_scenario,reliability_status,source_library,product_linkage_type,SA_score,MW,LogP,TPSA,pathogen_model,similarity_to_training,priority_tier,max_sim_EC_all,max_sim_EC_active,max_sim_EC_inactive,max_sim_CA_all,max_sim_CA_active,max_sim_CA_inactive
CMPD_096,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2n1,0.4454545454545454,0.4454545454545454,0.2595419847328244,0.9936635613441468,1,A,HIGH,SA,urea,4.517487632540008,691.7120000000002,3.830560000000002,170.42999999999995,SA,0.4454545454545454,1,,,,,,
CMPD_098,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2c1,0.4423076923076923,0.4423076923076923,0.288135593220339,0.990149700641632,1,A,HIGH,SA,urea,4.423729390781766,690.7240000000003,4.435560000000003,157.53999999999996,SA,0.4423076923076923,1,,,,,,
CMPD_087,COc1ccc2nccc(CC[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2c1,0.4411764705882353,0.4326923076923077,0.4411764705882353,0.9822525382041932,1,A,HIGH,SA,urea,3.781671184430646,656.7350000000002,5.325660000000005,137.30999999999997,SA,0.4411764705882353,1,,,,,,
CMPD_069,CC(=O)NC[CH]CN(C(=O)N(C[C@H]1CNC(=O)O1)c1ccon1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3703703703703703,0.3703703703703703,0.2689075630252101,0.982061553001404,1,A,HIGH,SA,urea,4.251631951819826,537.5280000000002,3.065760000000001,161.08999999999995,SA,0.3703703703703703,1,,,,,,
CMPD_077,CC(=O)NC[CH]CN(C(=O)N1CCN(c2c(F)cccc2F)CCN1C(=O)CO)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3557692307692308,0.3557692307692308,0.2828282828282828,0.9772387742996216,1,A,HIGH,SA,urea,3.701389392443073,625.628,3.299060000000002,140.51,SA,0.3557692307692308,1,,,,,,
CMPD_479,CCC(=O)N(CCCNCCCCCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.4363636363636363,0.4363636363636363,0.4363636363636363,0.9729479074478148,1,A,HIGH,SA_CA,amide,2.82081028053992,553.8800000000003,6.098400000000005,72.19,SA,0.4363636363636363,1,,,,,,
CMPD_086,CC(=O)NC[CH]CN(C(=O)N(C)CCCNc1nc2ccccc2[nH]1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3153153153153153,0.3153153153153153,0.2891566265060241,0.9715027451515198,1,A,HIGH,SA,urea,3.4132040385845395,558.6380000000003,4.773060000000004,137.44,SA,0.3153153153153153,1,,,,,,
CMPD_499,CC(C)[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4492753623188406,0.4492753623188406,0.3866666666666666,0.9516745805740356,1,A,HIGH,SA_CA,amide,3.513600021696816,721.1130000000004,6.912200000000007,101.29,SA,0.4492753623188406,1,,,,,,
CMPD_500,CC(C)C[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4366197183098591,0.4366197183098591,0.3766233766233766,0.950322949886322,1,A,HIGH,SA_CA,amide,3.546080325299693,735.1400000000003,7.302300000000007,101.29,SA,0.4366197183098591,1,,,,,,
CMPD_036,CC(=O)NC[CH]CN(C(=O)N1C[C@@H]2C(C#N)[C@@H]2C1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3846153846153846,0.3846153846153846,0.2871287128712871,0.9462375283241272,1,A,HIGH,SA,urea,4.500419460982382,462.5050000000002,3.164140000000001,120.52,SA,0.3846153846153846,1,,,,,,
